3.992000 -20.593631 1.803182 2.581099
3.992500 -12.299598 1.543552 2.544452
3.993000 -7.027583 1.214563 2.507804
3.993500 -3.843558 0.858074 2.471157
3.994000 -2.032953 0.519498 2.434509
3.994500 -1.065727 0.242016 2.397862
3.995000 -0.564494 0.061074 2.361214
3.995500 -0.275637 -0.000161 2.324567
3.996000 -0.043339 0.066225 2.287919
3.996500 0.213535 0.251856 2.251272
3.997000 0.521771 0.533106 2.214624
3.997500 0.871425 0.874094 2.177977
3.998000 1.230802 1.231254 2.141329
3.998500 1.558848 1.558893 2.104682
3.999000 1.815041 1.815042 2.068034
3.999500 1.966835 1.966835 2.031387
4.000000 1.994739 1.994739 1.994739
4.000500 1.895080 1.895080 1.958092
4.001000 1.680541 1.680542 1.921444
4.001500 1.378525 1.378570 1.884797
4.002000 1.027424 1.027865 1.848149
4.002500 0.670852 0.673439 1.811502
4.003000 0.349916 0.360833 1.774854
4.003500 0.093598 0.130265 1.738207
4.004000 -0.092697 0.011445 1.701559
4.004500 -0.240343 0.019734 1.664912
4.005000 -0.432395 0.154138 1.628264
4.005500 -0.820100 0.397409 1.591617
4.006000 -1.640972 0.718242 1.554969
4.006500 -3.238343 1.075287 1.518322
4.007000 -6.082338 1.422468 1.481674
4.007500 -10.792191 1.714926 1.445027
4.008000 -18.159846 1.914814 1.408379
